Node,InputVol,Table,TimePeriod
5102,284,1,1
5226,17,1,1
5258,0,1,1
5270,91,1,1
5271,0,1,1
5274,9,1,1
5282,7,1,1
5298,52,1,1
5299,0,1,1
5400,2,1,1
5401,0,1,1
5408,106,1,1
5432,22,1,1
5433,1,1,1
5442,43,1,1
5452,11,1,1
5468,9,1,1
5476,23,1,1
5600,18,1,1
5616,10,1,1
5624,33,1,1
5640,8,1,1
5656,15,1,1
5680,32,1,1
5696,35,1,1
5820,110,1,1
5824,27,1,1
6102,203,2,1
6218,118,2,1
6226,56,2,1
6250,6,2,1
6251,0,2,1
6258,4,2,1
6266,113,2,1
6286,46,2,1
6294,23,2,1
6408,13,2,1
6422,80,2,1
6428,33,2,1
6440,10,2,1
6460,10,2,1
6468,8,2,1
6486,8,2,1
6600,25,2,1
6636,56,2,1
6637,0,2,1
6644,0,2,1
6664,29,2,1
6665,0,2,1
6676,1,2,1
6684,2,2,1
6685,0,2,1
6812,19,2,1
6813,0,2,1
1702,67,3,1
1814,27,3,1
1826,60,3,1
1838,7,3,1
1858,6,3,1
3702,102,4,1
3810,3,4,1
3830,2,4,1
3850,25,4,1
3860,16,4,1
3874,7,4,1
1302,306,5,1
1422,16,5,1
1442,30,5,1
1443,0,5,1
1450,9,5,1
1458,7,5,1
1474,10,5,1
1475,1,5,1
1494,31,5,1
1600,16,5,1
1608,6,5,1
1609,0,5,1
3302,133,6,1
3410,14,6,1
3411,4,6,1
3422,8,6,1
3423,0,6,1
3450,28,6,1
3458,56,6,1
3466,5,6,1
3486,8,6,1
3494,4,6,1
3604,4,6,1
3605,4,6,1
3606,0,6,1
3624,10,6,1
2162,80,7,1
2266,31,7,1
1102,354,8,1
1226,16,8,1
1246,10,8,1
1250,27,8,1
1286,19,8,1
1287,0,8,1
3102,97,9,1
3222,5,9,1
3238,11,9,1
3270,28,9,1
3276,0,9,1
3280,28,9,1
3282,5,9,1
3288,0,9,1
3292,9,9,1
2182,13,10,1
2286,0,10,1
2294,97,10,1
2116,29,11,1
2222,9,11,1
2236,2,11,1
2246,23,11,1
2102,187,12,1
2206,6,12,1
2214,17,12,1
4140,43,13,1
4102,60,14,1
4210,6,14,1
4214,35,14,1
5102,439,1,2
5226,20,1,2
5258,2,1,2
5270,131,1,2
5271,0,1,2
5274,19,1,2
5282,16,1,2
5298,58,1,2
5299,0,1,2
5400,1,1,2
5401,0,1,2
5408,140,1,2
5432,26,1,2
5433,0,1,2
5442,69,1,2
5452,23,1,2
5468,8,1,2
5476,14,1,2
5600,17,1,2
5616,18,1,2
5624,40,1,2
5640,12,1,2
5656,20,1,2
5680,41,1,2
5696,23,1,2
5820,117,1,2
5824,20,1,2
6102,317,2,2
6218,135,2,2
6226,86,2,2
6250,8,2,2
6251,0,2,2
6258,0,2,2
6266,186,2,2
6286,53,2,2
6294,28,2,2
6408,15,2,2
6422,158,2,2
6428,71,2,2
6440,21,2,2
6460,23,2,2
6468,5,2,2
6486,16,2,2
6600,32,2,2
6636,71,2,2
6637,0,2,2
6644,5,2,2
6664,46,2,2
6665,0,2,2
6676,0,2,2
6684,8,2,2
6685,0,2,2
6812,32,2,2
6813,0,2,2
1702,129,3,2
1814,32,3,2
1826,124,3,2
1838,6,3,2
1858,12,3,2
3702,169,4,2
3810,15,4,2
3830,7,4,2
3850,16,4,2
3860,34,4,2
3874,11,4,2
1302,463,5,2
1422,21,5,2
1442,34,5,2
1443,0,5,2
1450,9,5,2
1458,35,5,2
1474,21,5,2
1475,0,5,2
1494,51,5,2
1600,36,5,2
1608,11,5,2
1609,0,5,2
3302,219,6,2
3410,15,6,2
3411,12,6,2
3422,8,6,2
3423,0,6,2
3450,44,6,2
3458,109,6,2
3466,9,6,2
3486,11,6,2
3494,5,6,2
3604,3,6,2
3605,5,6,2
3606,0,6,2
3624,19,6,2
2162,158,7,2
2266,51,7,2
1102,488,8,2
1226,28,8,2
1246,10,8,2
1250,26,8,2
1286,22,8,2
1287,0,8,2
3102,132,9,2
3222,10,9,2
3238,16,9,2
3270,37,9,2
3276,2,9,2
3280,33,9,2
3282,3,9,2
3288,1,9,2
3292,18,9,2
2182,15,10,2
2286,0,10,2
2294,102,10,2
2116,42,11,2
2222,6,11,2
2236,3,11,2
2246,22,11,2
2102,244,12,2
2206,11,12,2
2214,33,12,2
4140,48,13,2
4102,65,14,2
4210,18,14,2
4214,44,14,2
5102,578,1,3
5226,29,1,3
5258,2,1,3
5270,174,1,3
5271,0,1,3
5274,13,1,3
5282,21,1,3
5298,53,1,3
5299,0,1,3
5400,2,1,3
5401,0,1,3
5408,176,1,3
5432,25,1,3
5433,0,1,3
5442,88,1,3
5452,35,1,3
5468,12,1,3
5476,16,1,3
5600,23,1,3
5616,24,1,3
5624,76,1,3
5640,15,1,3
5656,28,1,3
5680,46,1,3
5696,58,1,3
5820,131,1,3
5824,23,1,3
6102,437,2,3
6218,167,2,3
6226,61,2,3
6250,10,2,3
6251,0,2,3
6258,13,2,3
6266,216,2,3
6286,83,2,3
6294,52,2,3
6408,24,2,3
6422,226,2,3
6428,84,2,3
6440,26,2,3
6460,25,2,3
6468,15,2,3
6486,18,2,3
6600,33,2,3
6636,99,2,3
6637,0,2,3
6644,5,2,3
6664,62,2,3
6665,0,2,3
6676,1,2,3
6684,18,2,3
6685,0,2,3
6812,43,2,3
6813,0,2,3
1702,156,3,3
1814,45,3,3
1826,151,3,3
1838,8,3,3
1858,11,3,3
3702,229,4,3
3810,10,4,3
3830,10,4,3
3850,14,4,3
3860,42,4,3
3874,15,4,3
1302,650,5,3
1422,25,5,3
1442,80,5,3
1443,0,5,3
1450,21,5,3
1458,33,5,3
1474,28,5,3
1475,1,5,3
1494,47,5,3
1600,59,5,3
1608,17,5,3
1609,0,5,3
3302,287,6,3
3410,17,6,3
3411,15,6,3
3422,19,6,3
3423,0,6,3
3450,56,6,3
3458,109,6,3
3466,9,6,3
3486,18,6,3
3494,5,6,3
3604,14,6,3
3605,10,6,3
3606,0,6,3
3624,25,6,3
2162,226,7,3
2266,47,7,3
1102,668,8,3
1226,44,8,3
1246,11,8,3
1250,24,8,3
1286,27,8,3
1287,0,8,3
3102,185,9,3
3222,16,9,3
3238,24,9,3
3270,37,9,3
3276,0,9,3
3280,46,9,3
3282,6,9,3
3288,2,9,3
3292,28,9,3
2182,20,10,3
2286,1,10,3
2294,110,10,3
2116,57,11,3
2222,8,11,3
2236,2,11,3
2246,18,11,3
2102,299,12,3
2206,4,12,3
2214,23,12,3
4140,56,13,3
4102,87,14,3
4210,24,14,3
4214,47,14,3
5102,610,1,4
5226,31,1,4
5258,3,1,4
5270,173,1,4
5271,0,1,4
5274,16,1,4
5282,14,1,4
5298,61,1,4
5299,0,1,4
5400,5,1,4
5401,0,1,4
5408,211,1,4
5432,27,1,4
5433,0,1,4
5442,104,1,4
5452,21,1,4
5468,19,1,4
5476,18,1,4
5600,38,1,4
5616,27,1,4
5624,70,1,4
5640,11,1,4
5656,30,1,4
5680,45,1,4
5696,39,1,4
5820,117,1,4
5824,16,1,4
6102,494,2,4
6218,184,2,4
6226,52,2,4
6250,13,2,4
6251,0,2,4
6258,5,2,4
6266,247,2,4
6286,72,2,4
6294,45,2,4
6408,20,2,4
6422,225,2,4
6428,118,2,4
6440,24,2,4
6460,34,2,4
6468,16,2,4
6486,30,2,4
6600,50,2,4
6636,112,2,4
6637,0,2,4
6644,7,2,4
6664,59,2,4
6665,0,2,4
6676,0,2,4
6684,18,2,4
6685,0,2,4
6812,49,2,4
6813,0,2,4
1702,177,3,4
1814,50,3,4
1826,181,3,4
1838,4,3,4
1858,13,3,4
3702,289,4,4
3810,15,4,4
3830,7,4,4
3850,24,4,4
3860,61,4,4
3874,18,4,4
1302,683,5,4
1422,23,5,4
1442,73,5,4
1443,0,5,4
1450,14,5,4
1458,30,5,4
1474,32,5,4
1475,0,5,4
1494,67,5,4
1600,54,5,4
1608,17,5,4
1609,0,5,4
3302,381,6,4
3410,28,6,4
3411,15,6,4
3422,23,6,4
3423,0,6,4
3450,78,6,4
3458,131,6,4
3466,7,6,4
3486,15,6,4
3494,5,6,4
3604,8,6,4
3605,11,6,4
3606,0,6,4
3624,39,6,4
2162,225,7,4
2266,67,7,4
1102,708,8,4
1226,37,8,4
1246,22,8,4
1250,41,8,4
1286,21,8,4
1287,0,8,4
3102,208,9,4
3222,17,9,4
3238,14,9,4
3270,38,9,4
3276,0,9,4
3280,58,9,4
3282,9,9,4
3288,3,9,4
3292,17,9,4
2182,16,10,4
2286,1,10,4
2294,100,10,4
2116,55,11,4
2222,12,11,4
2236,4,11,4
2246,37,11,4
2102,306,12,4
2206,13,12,4
2214,28,12,4
4140,73,13,4
4102,96,14,4
4210,46,14,4
4214,49,14,4
5102,688,1,5
5226,50,1,5
5258,3,1,5
5270,223,1,5
5271,0,1,5
5274,26,1,5
5282,27,1,5
5298,74,1,5
5299,0,1,5
5400,9,1,5
5401,0,1,5
5408,277,1,5
5432,45,1,5
5433,0,1,5
5442,102,1,5
5452,38,1,5
5468,23,1,5
5476,28,1,5
5600,47,1,5
5616,29,1,5
5624,74,1,5
5640,21,1,5
5656,34,1,5
5680,54,1,5
5696,46,1,5
5820,102,1,5
5824,27,1,5
6102,550,2,5
6218,209,2,5
6226,56,2,5
6250,13,2,5
6251,0,2,5
6258,9,2,5
6266,312,2,5
6286,65,2,5
6294,46,2,5
6408,26,2,5
6422,246,2,5
6428,101,2,5
6440,34,2,5
6460,23,2,5
6468,16,2,5
6486,27,2,5
6600,58,2,5
6636,123,2,5
6637,0,2,5
6644,10,2,5
6664,81,2,5
6665,0,2,5
6676,3,2,5
6684,27,2,5
6685,0,2,5
6812,66,2,5
6813,0,2,5
1702,196,3,5
1814,94,3,5
1826,178,3,5
1838,13,3,5
1858,14,3,5
3702,318,4,5
3810,16,4,5
3830,12,4,5
3850,21,4,5
3860,46,4,5
3874,41,4,5
1302,834,5,5
1422,45,5,5
1442,81,5,5
1443,0,5,5
1450,17,5,5
1458,42,5,5
1474,35,5,5
1475,1,5,5
1494,85,5,5
1600,42,5,5
1608,22,5,5
1609,0,5,5
3302,359,6,5
3410,42,6,5
3411,13,6,5
3422,13,6,5
3423,0,6,5
3450,91,6,5
3458,180,6,5
3466,12,6,5
3486,11,6,5
3494,6,6,5
3604,12,6,5
3605,8,6,5
3606,1,6,5
3624,26,6,5
2162,246,7,5
2266,85,7,5
1102,838,8,5
1226,48,8,5
1246,33,8,5
1250,49,8,5
1286,22,8,5
1287,0,8,5
3102,209,9,5
3222,11,9,5
3238,21,9,5
3270,59,9,5
3276,1,9,5
3280,49,9,5
3282,26,9,5
3288,7,9,5
3292,23,9,5
2182,14,10,5
2286,3,10,5
2294,85,10,5
2116,52,11,5
2222,15,11,5
2236,4,11,5
2246,38,11,5
2102,351,12,5
2206,14,12,5
2214,32,12,5
4140,82,13,5
4102,105,14,5
4210,24,14,5
4214,60,14,5
5102,952,1,6
5226,39,1,6
5258,5,1,6
5270,340,1,6
5271,0,1,6
5274,27,1,6
5282,44,1,6
5298,80,1,6
5299,0,1,6
5400,8,1,6
5401,0,1,6
5408,325,1,6
5432,55,1,6
5433,0,1,6
5442,151,1,6
5452,47,1,6
5468,31,1,6
5476,23,1,6
5600,55,1,6
5616,40,1,6
5624,85,1,6
5640,17,1,6
5656,43,1,6
5680,59,1,6
5696,44,1,6
5820,117,1,6
5824,19,1,6
6102,758,2,6
6218,235,2,6
6226,39,2,6
6250,21,2,6
6251,0,2,6
6258,17,2,6
6266,450,2,6
6286,85,2,6
6294,77,2,6
6408,34,2,6
6422,323,2,6
6428,133,2,6
6440,34,2,6
6460,31,2,6
6468,19,2,6
6486,36,2,6
6600,64,2,6
6636,167,2,6
6637,0,2,6
6644,8,2,6
6664,126,2,6
6665,0,2,6
6676,1,2,6
6684,38,2,6
6685,0,2,6
6812,71,2,6
6813,0,2,6
1702,310,3,6
1814,92,3,6
1826,215,3,6
1838,18,3,6
1858,28,3,6
3702,416,4,6
3810,27,4,6
3830,18,4,6
3850,33,4,6
3860,104,4,6
3874,43,4,6
1302,1147,5,6
1422,46,5,6
1442,112,5,6
1443,0,5,6
1450,30,5,6
1458,36,5,6
1474,16,5,6
1475,4,5,6
1494,112,5,6
1600,41,5,6
1608,25,5,6
1609,0,5,6
3302,499,6,6
3410,53,6,6
3411,24,6,6
3422,21,6,6
3423,0,6,6
3450,105,6,6
3458,219,6,6
3466,13,6,6
3486,22,6,6
3494,9,6,6
3604,13,6,6
3605,12,6,6
3606,0,6,6
3624,29,6,6
2162,323,7,6
2266,112,7,6
1102,1121,8,6
1226,67,8,6
1246,30,8,6
1250,43,8,6
1286,32,8,6
1287,0,8,6
3102,215,9,6
3222,13,9,6
3238,26,9,6
3270,49,9,6
3276,3,9,6
3280,97,9,6
3282,16,9,6
3288,19,9,6
3292,25,9,6
2182,23,10,6
2286,1,10,6
2294,93,10,6
2116,96,11,6
2222,22,11,6
2236,6,11,6
2246,28,11,6
2102,445,12,6
2206,43,12,6
2214,55,12,6
4140,125,13,6
4102,113,14,6
4210,21,14,6
4214,57,14,6
5102,1128,1,7
5226,75,1,7
5258,3,1,7
5270,430,1,7
5271,0,1,7
5274,51,1,7
5282,40,1,7
5298,121,1,7
5299,1,1,7
5400,9,1,7
5401,0,1,7
5408,356,1,7
5432,97,1,7
5433,0,1,7
5442,213,1,7
5452,55,1,7
5468,52,1,7
5476,43,1,7
5600,59,1,7
5616,46,1,7
5624,98,1,7
5640,35,1,7
5656,57,1,7
5680,104,1,7
5696,68,1,7
5820,135,1,7
5824,53,1,7
6102,899,2,7
6218,235,2,7
6226,52,2,7
6250,35,2,7
6251,0,2,7
6258,29,2,7
6266,542,2,7
6286,126,2,7
6294,52,2,7
6408,53,2,7
6422,378,2,7
6428,220,2,7
6440,65,2,7
6460,55,2,7
6468,23,2,7
6486,61,2,7
6600,74,2,7
6636,194,2,7
6637,0,2,7
6644,20,2,7
6664,181,2,7
6665,0,2,7
6676,1,2,7
6684,37,2,7
6685,0,2,7
6812,119,2,7
6813,1,2,7
1702,412,3,7
1814,110,3,7
1826,294,3,7
1838,42,3,7
1858,63,3,7
3702,504,4,7
3810,40,4,7
3830,19,4,7
3850,58,4,7
3860,130,4,7
3874,54,4,7
1302,1191,5,7
1422,61,5,7
1442,93,5,7
1443,0,5,7
1450,24,5,7
1458,62,5,7
1474,47,5,7
1475,2,5,7
1494,156,5,7
1600,81,5,7
1608,42,5,7
1609,0,5,7
3302,618,6,7
3410,55,6,7
3411,28,6,7
3422,32,6,7
