Node,Target,Table,TimePeriod
3102,32,1,1
3110,16,1,1
3138,33,1,1
3170,71,1,1
3194,115,1,1
3198,350,1,1
3314,211,1,1
3350,478,1,1
3362,167,1,1
3366,646,1,1
1110,109,2,1
1142,38,2,1
1166,22,2,1
1194,191,2,1
1302,147,2,1
5126,588,3,1
5162,31,3,1
5174,67,3,1
5194,138,3,1
5310,111,3,1
5342,48,3,1
5362,51,3,1
5382,207,3,1
5390,99,3,1
5398,560,3,1
6110,64,4,1
6118,27,4,1
6134,16,4,1
6154,22,4,1
6178,42,4,1
6198,103,4,1
6314,102,4,1
6330,48,4,1
6334,157,4,1
6342,500,4,1
6362,43,4,1
6378,80,4,1
6394,806,4,1
3514,48,5,1
3538,26,5,1
3554,897,5,1
1510,36,6,1
1526,22,6,1
1542,35,6,1
1546,208,6,1
5718,157,7,1
5746,69,7,1
5754,824,7,1
6718,393,8,1
6746,69,8,1
6754,603,8,1
3706,343,9,1
3718,593,9,1
1706,76,10,1
1722,194,10,1
2106,86,11,1
2114,31,11,1
2118,226,11,1
3102,45,1,2
3110,33,1,2
3138,39,1,2
3170,56,1,2
3194,139,1,2
3198,434,1,2
3314,276,1,2
3350,593,1,2
3362,189,1,2
3366,906,1,2
1110,134,2,2
1142,72,2,2
1166,23,2,2
1194,229,2,2
1302,207,2,2
5126,613,3,2
5162,76,3,2
5174,98,3,2
5194,156,3,2
5310,106,3,2
5342,58,3,2
5362,52,3,2
5382,285,3,2
5390,119,3,2
5398,705,3,2
6110,79,4,2
6118,39,4,2
6134,11,4,2
6154,42,4,2
6178,64,4,2
6198,114,4,2
6314,91,4,2
6330,59,4,2
6334,189,4,2
6342,596,4,2
6362,40,4,2
6378,88,4,2
6394,974,4,2
3514,60,5,2
3538,46,5,2
3554,1103,5,2
1510,54,6,2
1526,29,6,2
1542,40,6,2
1546,235,6,2
5718,216,7,2
5746,84,7,2
5754,986,7,2
6718,539,8,2
6746,84,8,2
6754,655,8,2
3706,479,9,2
3718,784,9,2
1706,101,10,2
1722,263,10,2
2106,139,11,2
2114,21,11,2
2118,319,11,2
3102,39,1,3
3110,25,1,3
3138,25,1,3
3170,67,1,3
3194,151,1,3
3198,435,1,3
3314,364,1,3
3350,683,1,3
3362,251,1,3
3366,1037,1,3
1110,160,2,3
1142,65,2,3
1166,36,2,3
1194,327,2,3
1302,263,2,3
5126,669,3,3
5162,68,3,3
5174,102,3,3
5194,172,3,3
5310,154,3,3
5342,84,3,3
5362,90,3,3
5382,343,3,3
5390,202,3,3
5398,793,3,3
6110,70,4,3
6118,36,4,3
6134,18,4,3
6154,46,4,3
6178,54,4,3
6198,107,4,3
6314,95,4,3
6330,90,4,3
6334,211,4,3
6342,554,4,3
6362,53,4,3
6378,121,4,3
6394,1106,4,3
3514,90,5,3
3538,24,5,3
3554,1203,5,3
1510,59,6,3
1526,28,6,3
1542,58,6,3
1546,374,6,3
5718,208,7,3
5746,142,7,3
5754,1040,7,3
6718,521,8,3
6746,142,8,3
6754,619,8,3
3706,501,9,3
3718,744,9,3
1706,119,10,3
1722,366,10,3
2106,165,11,3
2114,32,11,3
2118,304,11,3
3102,41,1,4
3110,40,1,4
3138,28,1,4
3170,78,1,4
3194,152,1,4
3198,474,1,4
3314,429,1,4
3350,727,1,4
3362,310,1,4
3366,1069,1,4
1110,196,2,4
1142,79,2,4
1166,46,2,4
1194,298,2,4
1302,280,2,4
5126,652,3,4
5162,76,3,4
5174,135,3,4
5194,235,3,4
5310,213,3,4
5342,121,3,4
5362,113,3,4
5382,319,3,4
5390,240,3,4
5398,783,3,4
6110,64,4,4
6118,47,4,4
6134,38,4,4
6154,85,4,4
6178,95,4,4
6198,102,4,4
6314,92,4,4
6330,72,4,4
6334,246,4,4
6342,563,4,4
6362,82,4,4
6378,126,4,4
6394,912,4,4
3514,90,5,4
3538,28,5,4
3554,1076,5,4
1510,75,6,4
1526,34,6,4
1542,53,6,4
1546,485,6,4
5718,202,7,4
5746,119,7,4
5754,987,7,4
6718,504,8,4
6746,119,8,4
6754,637,8,4
3706,408,9,4
3718,841,9,4
1706,166,10,4
1722,280,10,4
2106,157,11,4
2114,36,11,4
2118,215,11,4
3102,68,1,5
3110,41,1,5
3138,28,1,5
3170,73,1,5
3194,163,1,5
3198,480,1,5
3314,511,1,5
3350,735,1,5
3362,325,1,5
3366,1173,1,5
1110,160,2,5
1142,82,2,5
